CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2021
14488;Ouistreham;9.7
14514;Pont-l'Évêque;8.5
14654;Saint-Pierre-en-Auge;5
14689;Le Hom;6.8
14712;Saline;6.3
14715;Trouville-sur-Mer;7
14738;Verson;8.4
14752;Villers-Bocage;9.5
14754;Villers-sur-Mer;8.6
14762;Vire Normandie;7.3
15014;Aurillac;9.5
15119;Massiac;5.5
15120;Mauriac;10.3
15122;Maurs;5.2
15138;Murat;9
15162;Riom-ès-Montagnes;10.9
15187;Saint-Flour;8
16015;Angoulême;7.6
16028;Barbezieux-Saint-Hilaire;8.4
16070;Chabanais;5.3
16073;Chalais;6.5
16078;Champniers;6.5
16085;Chasseneuil-sur-Bonnieure;5.4
16090;Châteauneuf-sur-Charente;5.2
16102;Cognac;6.8
16106;Confolens;6.5
16113;La Couronne;6.2
16154;Gond-Pontouvre;5
16166;L'Isle-d'Espagnac;9
16167;Jarnac;6.4
16192;Roumazières-Loubert;7.4
16206;Mansle;12
16223;Montbron;5.7
16281;La Rochefoucauld;7
16286;Rouillac;10.5
16291;Ruelle-sur-Touvre;4.7
16292;Ruffec;7.7
16374;Soyaux;5.4
17003;Aigrefeuille-d'Aunis;9.4
17004;Île-d'Aix;48.3
17010;Angoulins;9
17019;Ars-en-Ré;20.2
17024;Aulnay;9.5
17028;Aytré;14.1
17093;Le Château-d'Oléron;7.7
17094;Châtelaillon-Plage;11.1
17131;Cozes;6.8
17140;Dolus-d'Oléron;9.5
17161;La Flotte;10.8
17168;Fouras;11.4
17172;Gémozac;9.3
17197;Jonzac;10
17200;Lagord;14.1
17218;Marans;10.8
17219;Marennes;7.6
17224;Matha;6.6
17240;Montendre;8.9
17241;Montguyon;7.5
17264;Nieul-sur-Mer;11.5
17274;Périgny;9
17283;Pons;8.5
17291;Puilboreau;13.6
17299;Rochefort;9.8
17300;La Rochelle;15
17306;Royan;10.9
17347;Saint-Jean-d'Angély;7.4
17385;Saint-Pierre-d'Oléron;9.7
17397;Saint-Savinien;8.8
17415;Saintes;11.3
17421;Saujon;6.7
17434;Surgères;7.6
17449;Tonnay-Charente;11.9
17452;La Tremblade;9.1
18003;Les Aix-d'Angillon;1.8
18015;Aubigny-sur-Nère;5.9
18033;Bourges;8.5
18057;Châteaumeillant;6.3
18087;Dun-sur-Auron;5.7
18108;La Guerche-sur-l'Aubois;5.2
18109;Henrichemont;4.7
18141;Mehun-sur-Yèvre;6.6
18197;Saint-Amand-Montrond;5.3
18205;Saint-Doulchard;6.7
18207;Saint-Florent-sur-Cher;2.9
18213;Saint-Germain-du-Puy;5.6
18241;Sancerre;6.9
18242;Sancoins;5.7
18279;Vierzon;5.8
19005;Allassac;6.4
19010;Argentat-sur-Dordogne;8.5
19019;Beaulieu-sur-Dordogne;10
19028;Bort-les-Orgues;8.4
19031;Brive-la-Gaillarde;9.3
19073;Égletons;7.2
19121;Lubersac;8.6
19123;Malemort;8.7
19136;Meymac;2.2
19138;Meyssac;8.8
19148;Neuvic;9
19153;Objat;5.7
19269;Treignac;10
19272;Tulle;5.2
19275;Ussel;5
19276;Uzerche;11.4
21023;Arnay-le-Duc;10.2
21038;Auxonne;5.3
21054;Beaune;10
21154;Châtillon-sur-Seine;7.4
21166;Chenôve;29.3
21171;Chevigny-Saint-Sauveur;8.4
21231;Dijon;10.1
21278;Fontaine-lès-Dijon;15.8
21292;Genlis;8.3
21317;Is-sur-Tille;9.1
21355;Longvic;7.5
21390;Marsannay-la-Côte;10.9
21425;Montbard;7.3
21464;Nuits-Saint-Georges;11.5
21501;Pouilly-en-Auxois;5.2
21515;Quetigny;10.3
21540;Saint-Apollinaire;9.2
21554;Saint-Jean-de-Losne;6.2
21584;Saulieu;5.4
21603;Semur-en-Auxois;8.2
21607;Seurre;5.6
21617;Talant;10.3
21663;Venarey-les-Laumes;4.4
22004;Bégard;8.2
22007;Binic;8.2
22016;Île-de-Bréhat;28.4
22020;Broons;9.4
22025;Callac;5.2
22046;Le Mené;5.7
22050;Dinan;7.8
22054;Erquy;22.9
22070;Guingamp;6.2
22093;Lamballe;4.3
22106;Langueux;3.8
22113;Lannion;8.5
22121;Lanvollon;5.6
22136;Loudéac;4.5
22143;Matignon;6
22147;Merdrignac;9.2
22162;Paimpol;8.5
22168;Perros-Guirec;11.1
22172;Plancoët;8.4
22186;Pléneuf-Val-André;9.6
22187;Plérin;9.8
22194;Plestin-les-Grèves;11.5
22203;Ploeuc-L'Hermitage;8.1
22206;Plouagat;8.4
22207;Plouaret;8.6
22215;Ploufragan;3.8
22222;Plouha;8.1
22251;Pordic;8.5
22259;Quévert;10.3
22262;Quintin;6.4
22266;Rostrenen;9.2
22278;Saint-Brieuc;11
22324;Saint-Quay-Perros;12.1
22360;Trégueux;4.8
22362;Tréguier;9.5
22389;Yffiniac;7.2
23008;Aubusson;8.5
23013;Auzances;7.8
23030;Bourganeuf;10.1
23031;Boussac;5.8
23075;Dun-le-Palestel;6.8
23076;Évaux-les-Bains;11.1
23096;Guéret;8.6
23176;La Souterraine;6.4
24035;Pays de Belvès;6
24037;Bergerac;7.9
24053;Boulazac Isle Manoire;6.3
24064;Brantôme en Périgord;10.2
24067;Le Bugue;10
24164;Excideuil;9.4
24167;Eymet;5.3
24223;Lalinde;4.6
24256;Marsac-sur-l'Isle;8.9
24291;Montignac;8.4
24294;Montpon-Ménestérol;5.9
24299;Mussidan;5.5
24309;Neuvic;3.6
24311;Nontron;6.3
24322;Périgueux;10.6
24352;Ribérac;5.2
24354;La Roche-Chalais;7.6
24372;Saint-Astier;6.2
24396;Saint-Cyprien;11.4
24520;Sarlat-la-Canéda;8.1
24547;Terrasson-Lavilledieu;5.1
24551;Thiviers;7.9
24557;Trélissac;7.6
24571;Vergt;9.7
25031;Audincourt;6.2
25047;Baume-les-Dames;9.6
25056;Besançon;13
25212;École-Valentin;9.8
25315;L'Isle-sur-le-Doubs;8
25334;Levier;8.6
25356;Maîche;5.9
25388;Montbéliard;9.1
25411;Morteau;5.7
25434;Ornans;11.1
25462;Pontarlier;7.1
25463;Pont-de-Roide-Vermondans;5.3
25527;Saint-Vit;10.2
25532;Saône;11.3
25578;Valdahon;11
