CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2020
17421;Saujon;7.2
17434;Surgères;7.6
17449;Tonnay-Charente;11.4
17452;La Tremblade;9.3
18003;Les Aix-d'Angillon;1.8
18015;Aubigny-sur-Nère;7.4
18033;Bourges;9
18057;Châteaumeillant;7.3
18087;Dun-sur-Auron;6.6
18108;La Guerche-sur-l'Aubois;6.4
18109;Henrichemont;7.1
18141;Mehun-sur-Yèvre;6.1
18197;Saint-Amand-Montrond;5.9
18205;Saint-Doulchard;6.2
18207;Saint-Florent-sur-Cher;3.7
18213;Saint-Germain-du-Puy;5.6
18241;Sancerre;6.9
18242;Sancoins;5.7
18279;Vierzon;6.2
19005;Allassac;6.4
19010;Argentat-sur-Dordogne;8.5
19019;Beaulieu-sur-Dordogne;5
19028;Bort-les-Orgues;8.3
19031;Brive-la-Gaillarde;10
19073;Égletons;7.9
19121;Lubersac;8.6
19123;Malemort;8.3
19136;Meymac;6.6
19138;Meyssac;8.8
19148;Neuvic;9
19153;Objat;6.4
19269;Treignac;13.9
19272;Tulle;5.2
19275;Ussel;6
19276;Uzerche;10.8
21023;Arnay-le-Duc;10.2
21038;Auxonne;5.3
21054;Beaune;9.9
21154;Châtillon-sur-Seine;6.8
21166;Chenôve;29.6
21171;Chevigny-Saint-Sauveur;9.2
21231;Dijon;10.3
21278;Fontaine-lès-Dijon;16.5
21292;Genlis;8.3
21317;Is-sur-Tille;8.7
21355;Longvic;7
21390;Marsannay-la-Côte;10.4
21425;Montbard;7.2
21464;Nuits-Saint-Georges;10.2
21501;Pouilly-en-Auxois;5.2
21515;Quetigny;10.1
21540;Saint-Apollinaire;9.3
21554;Saint-Jean-de-Losne;5.4
21584;Saulieu;4.5
21603;Semur-en-Auxois;9
21607;Seurre;4.9
21617;Talant;9.9
21663;Venarey-les-Laumes;5.5
22004;Bégard;8.2
22007;Binic;8.3
22016;Île-de-Bréhat;28.1
22020;Broons;7.9
22025;Callac;6.5
22046;Le Mené;5.7
22050;Dinan;8.3
22054;Erquy;17.9
22070;Guingamp;6.2
22093;Lamballe;4.3
22106;Langueux;3.9
22113;Lannion;9.1
22121;Lanvollon;5.7
22136;Loudéac;4.7
22143;Matignon;6
22147;Merdrignac;9.2
22162;Paimpol;9.3
22168;Perros-Guirec;9.7
22172;Plancoët;7.8
22186;Pléneuf-Val-André;8
22187;Plérin;11.3
22194;Plestin-les-Grèves;12.1
22203;Ploeuc-L'Hermitage;8.1
22206;Plouagat;6.6
22207;Plouaret;8.7
22215;Ploufragan;4.3
22222;Plouha;4.9
22251;Pordic;9.8
22259;Quévert;10.5
22262;Quintin;5.9
22266;Rostrenen;9.6
22278;Saint-Brieuc;11.1
22324;Saint-Quay-Perros;9.5
22360;Trégueux;5.4
22362;Tréguier;10
22389;Yffiniac;8.2
23008;Aubusson;8.9
23013;Auzances;11
23030;Bourganeuf;10
23031;Boussac;5.8
23075;Dun-le-Palestel;8.4
23076;Évaux-les-Bains;12.3
23096;Guéret;8.6
23176;La Souterraine;5.8
24035;Pays de Belvès;5.9
24037;Bergerac;8.2
24053;Boulazac Isle Manoire;7.4
24064;Brantôme en Périgord;10.2
24067;Le Bugue;11.5
24164;Excideuil;9.3
24167;Eymet;4.2
24223;Lalinde;5.3
24256;Marsac-sur-l'Isle;9
24291;Montignac;8.3
24294;Montpon-Ménestérol;4.8
24299;Mussidan;5.6
24309;Neuvic;4.5
24311;Nontron;6.3
24322;Périgueux;10.8
24352;Ribérac;6.8
