code_tvs,annee,nb_menages_tot,med_niveau_vie
01344,2009,4791,21306.374452097683
01344,2010,4860,21674.216872427984
01344,2011,4968,22247.816022544284
01344,2012,4999,22523.654575428543
01344,2013,5079,22884.18247099551
01344,2014,5139,22988.96597206359
01344,2015,5280,23151.171210618086
01344,2016,5389,23246.70692150677
01344,2017,5437,23800.84421556005
01344,2018,5464,24358.19729136164
01344,2019,5510,24474.223230490017
01348,2004,3196,15481.289737171464
01348,2005,3252,15897.71955719557
01348,2006,3272,16759.262072127138
01348,2007,3435,17356.230713245997
01348,2008,3554,18035.53559369724
01348,2009,3626,18141.15444015444
01348,2010,3674,18628.339684267827
01348,2011,3781,19185.663184342768
01348,2012,3797,19906.037359276932
01348,2013,3846,20332.84374702632
01348,2014,3844,20662.19748192278
01348,2015,3881,20928.073721262183
01348,2016,3936,21318.82423626509
01348,2017,3959,21581.217479161405
01348,2018,4000,22403.14
01348,2019,4130,22196.205811138014
01354,2004,3537,19603.12383375742
01354,2005,3829,18689.881170018278
01354,2006,3867,19832.832428238944
01354,2007,4028,20735.02085402185
01354,2008,4132,22509.882139399808
01354,2009,4260,23574.731690140845
01354,2010,4407,24714.352620830494
01354,2011,4521,27415.525326255254
01354,2012,4542,30167.355847835664
01354,2013,4413,29755.401377243983
01354,2014,4544,30193.09952684859
01354,2015,4879,31067.932563594542
01354,2016,4997,32022.036769059367
01354,2017,5317,30996.306187699833
01354,2018,5474,31800.59371574717
01354,2019,5889,32183.078621158093
01419,2004,3703,23485.500675128274
01419,2005,3957,23341.970937578975
01419,2006,4062,23346.145494830133
01419,2007,4317,24409.710331248552
01419,2008,4463,25822.239076854134
01419,2009,4649,27373.083458808345
01419,2010,4739,29885.47668284448
01419,2011,4939,31836.14557602754
01419,2012,5071,34385.11069480051
01419,2013,4986,34480.39336186874
01419,2014,5003,34440.122775065116
01419,2015,5017,36527.085949566346
01419,2016,5069,37643.65408580771
01419,2017,5224,36466.54862174579
01419,2018,5177,37657.12574850299
01419,2019,5441,38381.940819702264
01427,2004,6632,18184.405910735826
01427,2005,6730,18850.77221396731
01427,2006,6766,19654.46984924623
01427,2007,7051,20368.860161679197
01427,2008,7209,21151.060063809127
01427,2009,7342,21414.281258512667
01427,2010,7403,22043.882344995272
01427,2011,7543,22821.29258915551
01427,2012,7686,23105.18955233423
01427,2013,7788,23313.638512954403
