code_tvs,annee,NB_D101,NB_D102,NB_D103,NB_D104,NB_D105,NB_D106,NB_D401
01249,2007,0,0,0,0,0,0,4
01249,2008,0,1,0,0,0,0,4
01249,2009,0,1,0,0,0,0,4
01249,2010,0,1,0,0,0,0,4
01249,2011,0,1,0,0,0,0,4
01249,2012,0,1,0,0,0,0,4
01249,2013,0,1,0,0,0,0,3
01249,2014,0,1,0,0,0,0,3
01249,2015,0,1,0,0,0,0,3
01249,2016,0,1,0,0,0,0,3
01249,2017,0,1,0,0,0,0,2
01249,2018,0,1,0,0,0,0,2
01249,2019,0,1,0,0,0,0,2
01262,2004,0,0,0,0,0,0,1
01262,2005,0,0,0,0,0,0,1
01262,2006,0,0,0,0,0,0,1
01262,2007,0,0,0,1,0,0,2
01262,2008,0,0,0,1,0,0,2
01262,2009,0,0,0,1,0,0,2
01262,2010,0,0,0,1,0,0,3
01262,2011,0,0,0,1,0,0,3
01262,2012,0,0,0,1,0,0,3
01262,2013,0,0,0,1,0,0,3
01262,2014,0,0,0,1,0,0,3
01262,2015,0,0,0,1,0,0,3
01262,2016,0,0,0,1,0,0,3
01262,2017,0,0,0,1,0,0,4
01262,2018,0,0,0,1,0,0,4
01262,2019,0,0,0,1,0,0,4
01266,2004,0,0,1,1,0,0,2
01266,2005,0,0,1,1,0,0,2
01266,2006,0,0,1,1,0,0,2
01266,2007,0,0,1,2,0,0,4
01266,2008,0,0,1,2,0,0,4
01266,2009,0,0,1,1,0,0,4
01266,2010,0,0,0,1,0,0,3
01266,2011,0,0,0,1,0,0,3
01266,2012,0,0,0,1,0,0,3
01266,2013,0,0,0,1,0,0,3
01266,2014,0,0,0,1,0,0,3
01266,2015,0,0,0,1,0,0,3
01266,2016,0,0,0,1,0,0,3
01266,2017,0,0,0,0,0,0,3
01266,2018,0,0,0,0,0,0,4
01266,2019,0,0,0,0,0,0,4
01269,2004,2,0,1,0,0,2,1
01269,2005,2,0,1,0,0,2,1
01269,2006,2,0,1,0,0,2,1
01269,2007,1,1,1,0,0,0,1
01269,2008,0,0,1,0,0,0,1
01269,2009,0,0,1,0,0,0,1
01269,2010,0,0,1,0,0,0,1
01269,2011,0,0,1,0,0,0,1
01269,2012,0,0,1,0,0,0,1
01269,2013,0,0,1,0,0,0,1
01269,2014,0,0,1,0,0,0,1
01269,2015,0,0,1,0,0,0,1
01269,2016,0,0,1,0,0,0,1
01269,2017,0,0,1,0,0,0,1
01269,2018,0,0,1,0,0,0,2
01269,2019,0,0,1,0,0,0,1
01283,2004,1,0,1,0,0,1,3
01283,2005,1,0,1,0,0,1,3
01283,2006,1,0,1,0,0,1,3
01283,2007,1,0,1,0,0,1,6
01283,2008,1,1,1,0,0,1,6
01283,2009,1,1,1,0,0,1,6
01283,2010,1,1,0,0,0,1,6
01283,2011,1,1,1,0,0,1,6
01283,2012,1,1,1,0,0,1,6
01283,2013,1,1,1,0,0,1,6
01283,2014,1,1,1,0,0,1,6
01283,2015,1,1,1,0,0,1,6
01283,2016,1,1,1,0,0,1,6
01283,2017,1,1,1,0,0,1,7
01283,2018,1,1,1,0,0,1,7
01283,2019,1,1,1,0,0,1,7
01289,2004,0,0,0,0,0,0,2
01289,2005,0,0,0,0,0,0,2
01289,2006,0,0,0,0,0,0,2
01289,2007,0,0,0,0,0,0,2
01289,2008,0,0,0,0,0,0,2
01289,2009,0,0,0,0,0,0,2
01289,2010,0,0,0,0,0,0,3
01289,2011,0,0,0,0,0,0,3
01289,2012,0,0,0,0,0,0,3
01289,2013,0,0,0,0,0,0,3
01289,2014,0,0,0,0,0,0,3
01289,2015,0,0,0,0,0,0,3
01289,2016,0,0,0,0,0,0,3
01289,2017,0,0,0,0,0,0,3
01289,2018,0,0,0,0,0,0,3
01289,2019,0,0,0,0,0,0,3
01305,2004,1,0,1,0,0,1,3
01305,2005,1,0,1,0,0,1,3
01305,2006,1,0,1,0,0,1,3
01305,2007,1,1,1,0,0,0,5
01305,2008,1,1,1,0,0,0,5
01305,2009,1,1,1,0,0,0,5
01305,2010,1,1,0,0,0,0,5
01305,2011,1,1,0,0,0,0,5
01305,2012,1,1,0,0,0,0,5
01305,2013,1,1,0,0,0,0,6
01305,2014,1,1,0,0,0,0,6
01305,2015,1,1,0,0,0,0,6
01305,2016,1,1,0,0,0,0,6
01305,2017,1,1,0,0,0,0,6
01305,2018,1,1,0,0,0,0,6
01305,2019,1,1,0,0,0,0,6
01333,2004,0,0,0,0,0,0,1
01333,2005,0,0,0,0,0,0,1
01333,2006,0,0,0,0,0,0,1
01333,2007,0,0,0,0,0,0,1
01333,2008,0,0,0,0,0,0,1
01333,2009,0,0,0,0,0,0,1
01333,2010,0,0,0,0,0,0,1
01333,2011,0,0,0,0,0,0,1
01333,2012,0,0,0,0,0,0,1
01333,2013,0,0,0,0,0,0,1
01333,2014,0,0,0,0,0,0,1
01333,2015,0,0,0,0,0,0,1
01333,2016,0,0,0,0,0,0,1
01333,2017,0,0,0,0,0,0,1
01333,2018,0,0,0,0,0,0,1
01333,2019,0,0,0,0,0,0,1
01344,2007,0,0,0,0,0,0,2
01344,2008,0,0,0,0,0,0,2
01344,2009,0,0,0,0,0,0,2
01344,2010,0,0,0,0,0,0,3
01344,2011,0,0,0,0,0,0,3
01344,2012,0,0,0,0,0,0,3
01344,2013,0,0,0,0,0,0,3
01344,2014,0,0,0,0,0,0,3
01344,2015,0,0,0,0,0,0,3
01344,2016,0,0,0,0,0,0,3
01344,2017,0,0,0,0,0,0,3
01344,2018,0,0,0,0,0,0,3
01344,2019,0,0,0,0,0,0,3
01348,2004,1,0,1,0,0,1,1
01348,2005,1,0,1,0,0,1,1
01348,2006,1,0,1,0,0,1,1
01348,2007,1,1,1,0,0,0,1
01348,2008,1,1,1,0,0,0,1
01348,2009,1,1,1,0,0,0,1
01348,2010,1,1,0,0,0,0,1
01348,2011,1,1,0,0,0,0,1
01348,2012,1,1,0,0,0,0,1
01348,2013,1,1,0,0,0,0,1
01348,2014,1,1,0,0,0,0,1
01348,2015,1,1,0,0,0,0,1
01348,2016,1,1,0,0,0,0,1
01348,2017,1,1,0,0,0,0,1
01348,2018,1,1,0,0,0,0,1
01348,2019,1,1,0,0,0,0,1
01354,2007,0,0,0,0,0,0,1
01354,2008,0,0,0,0,0,0,1
01354,2009,0,0,0,0,0,0,1
01354,2010,0,0,0,0,0,0,1
01354,2011,0,0,0,0,0,0,1
01354,2012,0,0,0,0,0,0,1
01354,2013,0,0,0,0,0,0,1
01354,2014,0,0,0,0,0,0,1
01354,2015,0,0,0,0,0,0,1
01354,2016,0,0,0,0,0,0,1
01354,2017,0,0,0,0,0,0,1
01354,2018,0,0,0,0,0,0,1
01354,2019,0,0,0,0,0,0,1
01419,2004,0,0,0,0,0,0,1
01419,2005,0,0,0,0,0,0,1
01419,2006,0,0,0,0,0,0,1
01419,2007,0,0,0,0,0,0,1
01419,2008,0,0,0,0,0,0,1
01419,2009,0,0,0,0,0,0,1
01419,2010,0,0,0,0,0,0,1
01419,2011,0,0,0,0,0,0,1
01419,2012,0,0,0,0,0,0,1
01419,2013,0,0,0,0,0,0,1
01419,2014,0,0,0,0,0,0,1
01419,2015,0,0,0,0,0,0,1
01419,2016,0,0,0,0,0,0,1
01419,2017,0,0,0,0,0,0,1
01419,2018,0,0,0,0,0,0,1
01419,2019,0,0,0,0,0,0,1
01427,2004,1,0,1,0,0,1,1
