code_tvs,annee,nb_medecins
01333,2015,7
01333,2016,7
01333,2017,7
01333,2018,8
01333,2019,6
01344,2004,8
01344,2005,8
01344,2006,9
01344,2007,9
01344,2008,9
01344,2009,9
01344,2010,9
01344,2011,9
01344,2012,9
01344,2013,8
01344,2014,10
01344,2015,10
01344,2016,10
01344,2017,10
01344,2018,9
01344,2019,9
01348,2004,5
01348,2005,5
01348,2006,5
01348,2007,5
01348,2008,4
01348,2009,4
01348,2010,4
01348,2011,4
01348,2012,4
01348,2013,4
01348,2014,4
01348,2015,4
01348,2016,4
01348,2017,3
01348,2018,3
01348,2019,5
01354,2004,6
01354,2005,6
01354,2006,6
01354,2007,6
01354,2008,6
01354,2009,6
01354,2010,4
01354,2011,5
01354,2012,6
01354,2013,6
01354,2014,7
01354,2015,6
01354,2016,6
01354,2017,6
01354,2018,6
01354,2019,7
01419,2004,7
01419,2005,6
01419,2006,6
01419,2007,6
01419,2008,6
01419,2009,6
01419,2010,6
01419,2011,6
01419,2012,5
01419,2013,4
01419,2014,4
01419,2015,5
01419,2016,5
01419,2017,5
01419,2018,5
01419,2019,5
01427,2004,14
01427,2005,14
01427,2006,16
01427,2007,16
01427,2008,16
01427,2009,16
01427,2010,16
01427,2011,16
01427,2012,19
01427,2013,19
01427,2014,17
01427,2015,18
01427,2016,17
01427,2017,17
01427,2018,16
01427,2019,18
01443,2004,7
01443,2005,7
01443,2006,7
01443,2007,7
01443,2008,7
01443,2009,7
01443,2010,7
01443,2011,7
01443,2012,7
01443,2013,7
01443,2014,7
01443,2015,8
01443,2016,8
01443,2017,8
01443,2018,9
01443,2019,9
01451,2004,7
01451,2005,8
01451,2006,6
01451,2007,6
01451,2008,7
01451,2009,7
01451,2010,7
01451,2011,7
01451,2012,8
01451,2013,8
01451,2014,8
01451,2015,8
01451,2016,9
01451,2017,7
01451,2018,8
01451,2019,8
01457,2004,5
01457,2005,5
01457,2006,5
01457,2007,5
01457,2008,5
01457,2009,5
01457,2010,5
01457,2011,4
01457,2012,4
01457,2013,4
01457,2014,4
01457,2015,4
01457,2016,5
01457,2017,5
01457,2018,5
01457,2019,3
02018,2004,5
02018,2005,5
02018,2006,5
02018,2007,5
02018,2008,5
02018,2009,5
02018,2010,5
02018,2011,5
02018,2012,5
02018,2013,5
02018,2014,5
02018,2015,6
02018,2016,6
02018,2017,4
02018,2018,4
02018,2019,3
02095,2004,20
02095,2005,20
02095,2006,18
02095,2007,17
02095,2008,18
02095,2009,18
02095,2010,17
02095,2011,16
02095,2012,16
02095,2013,15
02095,2014,15
02095,2015,14
02095,2016,13
02095,2017,13
02095,2018,13
02095,2019,13
02141,2004,6
02141,2005,6
02141,2006,6
02141,2007,6
02141,2008,5
02141,2009,5
02141,2010,5
02141,2011,5
02141,2012,5
02141,2013,5
02141,2014,4
02141,2015,4
02141,2016,4
02141,2017,5
02141,2018,4
02141,2019,4
02163,2004,6
02163,2005,6
02163,2006,6
02163,2007,7
